video_id,paths,w x h,frames,fps,caption_movi
video5344,video5344.mp4,320_240,360.0,29.97002997002997,a 900 lb man is featured in a documentary
video864,video864.mp4,320_240,810.0,30.0,a 1997 acura integra for sale
video2624,video2624.mp4,320_240,275.0,25.0,19 kids and counting is being discussed
video1664,video1664.mp4,320_240,329.0,29.97002997002997,2 cute parrots sitting nicely
video1600,video1600.mp4,320_240,389.0,29.97002997002997,a little girl is lying on the ground
video2976,video2976.mp4,320_240,325.0,25.0,a band group performing on stage
video1472,video1472.mp4,320_240,420.0,30.0,a animate character are talking
video2560,video2560.mp4,320_240,275.0,25.0,a band is performing a song in the studio
video4768,video4768.mp4,320_240,300.0,30.0,a boy is excited while playing at sea shore
video5856,video5856.mp4,320_240,122.0,11.083333333333334,a boy gets ready for a flight test with a paper airplane
video3072,video3072.mp4,320_240,300.0,29.97002997002997,a boy hangs up his backpack
video1152,video1152.mp4,320_240,840.0,29.97002997002997,a boy in a polo shirt plays piano
video2080,video2080.mp4,320_240,756.0,27.0,a bot is demonstrating his origami skills
video3968,video3968.mp4,320_240,250.0,25.0,a bollywood movie scene with a man on a bed
video6368,video6368.mp4,320_240,375.0,25.0,a boy safe the money from theft
video1632,video1632.mp4,320_240,390.0,29.97002997002997,a boy trying to get the attention of some war helicopters
video5152,video5152.mp4,320_240,570.0,30.0,a boy removes his shirt to sleep beside a girl to irritate her
video2400,video2400.mp4,320_240,329.0,29.97002997002997,a bunch of birds are shown
video4896,video4896.mp4,320_240,250.0,25.0,a bunch of basketball players are stomping on someone
video2112,video2112.mp4,320_240,456.0,23.976023976023978,a bridal couple dance together
video4448,video4448.mp4,320_240,480.0,30.0,a broadcaster is narrating what is happening in a video game
video2496,video2496.mp4,320_240,449.0,29.97002997002997,a boy is playing tug of war
video1760,video1760.mp4,320_240,250.0,25.0,a boy is performing a song on the voice
video256,video256.mp4,320_240,390.0,30.0,a boy is running in video games
video480,video480.mp4,320_240,330.0,29.97002997002997,a baseball game is being plate
video2944,video2944.mp4,320_240,330.0,29.97002997002997,a baseball clip and a football clip of the saints plays
video3328,video3328.mp4,320_240,576.0,23.976023976023978,a bass player rocks out
video704,video704.mp4,320_240,450.0,29.97002997002997,a basketball team celebrates after a win and a player dunks a ball in the hoop
video3552,video3552.mp4,320_240,288.0,23.976023976023978,a bathing suit model talking about her photographer
video672,video672.mp4,320_240,359.0,29.97002997002997,a band is performing a song
video3648,video3648.mp4,320_240,288.0,23.976023976023978,a band of people playing outside
video4256,video4256.mp4,320_240,275.0,25.0,a black girl auditions for the voice
video1376,video1376.mp4,320_240,325.0,25.0,a blond warrior negotiates with an alien being
